link,username,tweet
https://twitter.com/anyuser/status/965564089224323074,aboalmout,الفوز العظيم https://t.co/TJ3p5T5wlQ
https://twitter.com/anyuser/status/964939932753170432,aboalmout,"كل قذيفة سقطت على دمشق وضاحية الاسد سينزل مقابلها مئة..
ثأر الشهداء اقترب
لوعة المخطوفين واهاليهم 
مظلومين ادارة... https://t.co/xWHcyVdshd"
https://twitter.com/anyuser/status/962293290723930113,aboalmout,"#الموت_لإسرائيل
#מוות_לישראל https://t.co/lD7wDJNieM"
https://twitter.com/anyuser/status/958449662469517312,aboalmout,اللي حكا باسمي بالمؤتمر ينط خاص عايزو بكلمتين
https://twitter.com/anyuser/status/957597055454732288,aboalmout,"لا ولم ولن تتم اي مصالحة او هدنة في مناطق توجد بها جبهة النصرة و زناة ابن تيمية..
بدي ضل عيد الحكي 😠؟؟
الارض... https://t.co/rSfJXPoQv6"
https://twitter.com/anyuser/status/950820649324433408,aboalmout,"اللي ربح المية مليون 
انشالله يضيعو اذا مابتعطيني مليون يامحظوظ البدو 😭😭😭😭😭
كترو لايكات بلكي بيشوف البوست 😍"
https://twitter.com/anyuser/status/950422940327272449,aboalmout,"بالصميم 
#واقع https://t.co/wRbKARDQH0"
https://twitter.com/anyuser/status/950107071940308992,aboalmout,"وحدات الجيش والامن والقوات الرديفة المشاركة في فك الحصار لكم ولتضحياتكم ننحي
الرحمة للشهداء والشفاء للجرحى 
مبروك
#إدارة_المركبات"
https://twitter.com/anyuser/status/949296882270068736,aboalmout,"لروحك السلام 
الله يصبر احبابك ويرحمنا https://t.co/eNdMlkNJiS"
https://twitter.com/anyuser/status/949171218552426496,aboalmout,"كلمة حق للتوضيح ليست دفاع عن أحد
الى من يشتم وزير المصالحة 
من قال لكم ان هنالك مصالحة تمت في اي من مناطق الغوطة... https://t.co/d0THHJBWd0"
https://twitter.com/anyuser/status/948635666031800322,aboalmout,"يرجى الانتباه من قبل الجميع والاخوة المقاتلين بشكل خاص.. 
تم انشاء هذه الصفحة مع بداية الهجوم على القوات في... https://t.co/zMloLGqwye"
https://twitter.com/anyuser/status/929331009434333185,aboalmout,"اللون نفسو 
الدولاب ع غطا الموتور 😍
عشق ابدي https://t.co/LIkWkFpAWY"
https://twitter.com/anyuser/status/927824769881399296,aboalmout,بيكانتو 😍 https://t.co/nvt7qDJ1kJ
https://twitter.com/anyuser/status/920609736541827072,aboalmout,"سلام عليك يوم ولدت ويوم جاهدت  ويوم استشهدت ويوم تبعث حيا 
#اللواء_الركن_عصام_زهر_الدين ... وداعاً"
https://twitter.com/anyuser/status/920599645344104448,aboalmout,لروحك السلام😔يا نافذ أسد الله https://t.co/Rm9pwfZnVb
https://twitter.com/anyuser/status/917738475037872128,aboalmout,https://t.co/YZRbuv2s6U
https://twitter.com/anyuser/status/917715563849412609,aboalmout,"معلش شو صار 
سوريا نور و نار 🔥 
يعطيكم الف عافية"
https://twitter.com/anyuser/status/917711293196525573,aboalmout,لاتزعلهن يارب 😍
https://twitter.com/anyuser/status/917011251594702848,aboalmout,"اللي مو عاجبو البوست يتجاوزو فوراً بدون ولا تعليق مسخرة 
الله يرحم اللي استشهد المباراة الماضية بسبب كم مريض... https://t.co/zRyInvOHBn"
https://twitter.com/anyuser/status/913368980341055488,aboalmout,"قل شيئاً عن هذا.... 
#فايا_يونان https://t.co/G3Fco2Rxk6"
https://twitter.com/anyuser/status/909135151212515329,aboalmout,سأربح 😌 https://t.co/qCqh9RK5jk
https://twitter.com/anyuser/status/909128128269885440,aboalmout,👍👍👍👍 https://t.co/dk3XrlAhM6
