,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy
Classifier,CatBoost,Decision Tree,K-Nearest Neighbors,Logistic Regression,Random Forest,SVC,XGBoost
Model,,,,,,,
BoW,0.8010517090271692,0.7914110429447853,0.7037686240140227,0.8255915863277826,0.8229623137598597,0.8124452234881683,0.8001752848378615
Custom dataset-trained Word2Vec,0.7432077125328659,0.6292725679228747,0.6722173531989483,0.7204206836108676,0.7283085013146363,0.7125328659070991,0.7160385626643295
Pre-trained Arabic fastText,0.7975460122699386,0.6906222611744084,0.7432077125328659,0.7975460122699386,0.7931638913234005,0.8089395267309377,0.8045574057843996
Pre-trained GloVe,0.6450482033304119,0.6468010517090271,0.38475021910604734,0.6468010517090271,0.6468010517090271,0.6450482033304119,0.6450482033304119
Pre-trained GoogleNews Word2Vec,0.6327782646801051,0.6327782646801051,0.6327782646801051,0.6327782646801051,0.6327782646801051,0.6327782646801051,0.6327782646801051
TF-IDF,0.7992988606485539,0.7747589833479404,0.7870289219982471,0.8045574057843996,0.8124452234881683,0.8255915863277826,0.7940403155127082
