iter	Logloss
0	0.6927795305
1	0.6923999442
2	0.6920177781
3	0.6916557069
4	0.6913090133
5	0.6909804687
6	0.690718412
7	0.690433467
8	0.6902555797
9	0.6900218088
10	0.6897886691
11	0.689527871
12	0.6892823542
13	0.6890614779
14	0.688817771
15	0.6886081814
16	0.6884145555
17	0.6882669773
18	0.6880675169
19	0.687887319
20	0.6877237007
21	0.6875868414
22	0.6874467816
23	0.6872907776
24	0.6871611809
25	0.6870060122
26	0.6868598747
27	0.6867098305
28	0.6866058843
29	0.6864640133
30	0.6863448406
31	0.6862240575
32	0.6861222877
33	0.6860250014
34	0.6859470002
35	0.6858513917
36	0.6857818665
37	0.6856916005
38	0.6855886214
39	0.6854952514
40	0.6854149435
41	0.6853447386
42	0.685274133
43	0.6851918884
44	0.685128469
45	0.6850555678
46	0.6849793961
47	0.6849253274
48	0.6848562718
49	0.6848065544
50	0.6847532332
51	0.6846977307
52	0.6846578377
53	0.6846243772
54	0.6845894431
55	0.6845442036
56	0.6845115841
57	0.6845041533
58	0.6844583967
59	0.6844360938
60	0.684413454
61	0.6843829697
62	0.68434041
63	0.6843039917
64	0.6842588306
65	0.6842215319
66	0.6841899971
67	0.684171667
68	0.6841331611
69	0.6841082537
70	0.6840864447
71	0.6840626111
72	0.6840394985
73	0.6840144968
74	0.6839814732
75	0.6839652533
76	0.6839469809
77	0.6839190094
78	0.6838956145
79	0.6838695211
80	0.6838561429
81	0.6838264608
82	0.6838138724
83	0.6838002574
84	0.6837766634
85	0.6837642029
86	0.6837457971
87	0.6837236251
88	0.6837012131
89	0.6836854563
90	0.6836712477
91	0.6836615527
92	0.6836479651
93	0.6836286941
94	0.6836128316
95	0.6835992876
96	0.683579997
97	0.6835598429
98	0.6835460179
99	0.683528983
100	0.683521823
101	0.6835076576
102	0.6834982984
103	0.6834998667
104	0.6834826896
105	0.683474166
106	0.6834656693
107	0.6834512239
108	0.6834380935
109	0.683429344
110	0.683428732
111	0.6834116925
112	0.6834040993
113	0.6833930073
114	0.6833760211
115	0.6833708762
116	0.6833532595
117	0.6833427513
118	0.6833349997
119	0.6833271705
120	0.6833137937
121	0.6833055747
122	0.6832935722
123	0.6832841773
124	0.6832713687
125	0.6832616554
126	0.6832562547
127	0.6832441302
